Lens_Name,r_e_V(kpc),sigma_e/2(km/s),sig_sigma_e/2(km/s),log(M*/Msun)_Chab,sig_log(M*/Msun)_Chab,log(M*/Msun)_Salp,sig_log(M*/Msun)_Salp,log(M_re/2/Msun),sig_log(M_re/2/Msun),f_DM_Chab,sig_f_DM_Chab,f_DM_Salp,sig_f_DM_Salp,gamma_prime_PL,sig_gamma_prime_PL
SDSSJ0029-0055,8.36,231,18,11.33,0.13,11.58,0.13,11.13,0.03,0.47,0.15,0.04,0.28,2.38,0.23
SDSSJ0037-0942,7.44,282,10,11.48,0.06,11.73,0.06,11.36,0.02,0.57,0.07,0.25,0.11,2.14,0.07
SDSSJ0044+0113,6.12,267,13,11.23,0.09,11.47,0.09,11.13,0.07,0.59,0.10,0.29,0.18,2.31,0.24
SDSSJ0216-0813,13.19,334,23,11.79,0.07,12.03,0.07,11.76,0.02,0.65,0.06,0.40,0.11,2.09,0.20
SDSSJ0252+0039,5.68,170,12,11.21,0.13,11.46,0.13,10.97,0.03,0.42,0.18,-0.03,0.32,1.57,0.12
SDSSJ0330-0020,6.23,220,21,11.35,0.09,11.58,0.09,11.14,0.05,0.46,0.12,0.09,0.21,1.91,0.18
SDSSJ0728+3835,5.86,219,11,11.44,0.12,11.69,0.12,11.12,0.02,0.31,0.19,-0.23,0.37,1.86,0.10
SDSSJ0737+3216,14.10,338,16,11.72,0.07,11.96,0.07,11.52,0.03,0.49,0.09,0.10,0.16,2.68,0.12
SDSSJ0819+4534,7.63,227,15,11.15,0.08,11.40,0.08,11.16,0.04,0.68,0.07,0.43,0.12,2.16,0.25
SDSSJ0822+2652,7.64,263,15,11.43,0.13,11.69,0.13,11.32,0.02,0.56,0.13,0.21,0.23,2.12,0.14
SDSSJ0912+0029,11.69,322,12,11.71,0.07,11.96,0.07,11.71,0.02,0.67,0.06,0.43,0.09,1.98,0.09
SDSSJ0935-0003,20.09,391,35,11.72,0.07,11.96,0.07,11.81,0.14,0.73,0.09,0.53,0.15,2.44,0.36
SDSSJ0936+0913,7.00,246,11,11.43,0.12,11.68,0.12,11.18,0.02,0.40,0.17,-0.07,0.30,2.24,0.12
SDSSJ0946+1006,9.08,265,21,11.34,0.12,11.59,0.12,11.43,0.02,0.73,0.07,0.51,0.14,2.01,0.18
SDSSJ0956+5100,8.58,338,15,11.56,0.09,11.81,0.08,11.52,0.02,0.64,0.07,0.36,0.13,2.30,0.09
SDSSJ0959+0410,3.34,203,13,10.91,0.07,11.15,0.06,10.76,0.02,0.54,0.08,0.20,0.13,2.05,0.15
SDSSJ0959+4416,7.27,248,19,11.47,0.12,11.72,0.12,11.23,0.02,0.42,0.17,-0.03,0.30,2.14,0.21
SDSSJ1016+3859,4.38,254,13,11.23,0.12,11.48,0.12,11.04,0.02,0.48,0.15,0.08,0.26,2.19,0.11
SDSSJ1020+1122,6.23,290,18,11.54,0.12,11.80,0.12,11.34,0.03,0.46,0.16,0.04,0.28,2.08,0.12
SDSSJ1023+4230,5.97,247,15,11.33,0.12,11.57,0.12,11.19,0.03,0.55,0.13,0.20,0.23,2.01,0.11
SDSSJ1029+0420,3.02,215,9,11.04,0.12,11.29,0.11,10.71,0.02,0.28,0.19,-0.28,0.34,2.28,0.10
SDSSJ1106+5228,3.61,266,9,11.13,0.06,11.37,0.06,10.91,0.02,0.47,0.08,0.07,0.13,2.40,0.07
SDSSJ1112+0826,6.48,328,20,11.48,0.09,11.73,0.08,11.43,0.03,0.63,0.08,0.34,0.13,2.21,0.10
SDSSJ1134+6027,5.26,243,11,11.26,0.12,11.51,0.12,11.06,0.02,0.48,0.14,0.06,0.25,2.20,0.11
SDSSJ1142+1001,6.99,225,22,11.30,0.08,11.55,0.08,11.22,0.02,0.60,0.08,0.31,0.13,1.90,0.23
SDSSJ1143-0144,10.25,263,5,11.36,0.09,11.60,0.09,11.50,0.03,0.77,0.05,0.59,0.09,1.92,0.06
SDSSJ1153+4612,4.00,233,15,11.08,0.13,11.33,0.13,10.90,0.03,0.50,0.14,0.10,0.26,2.28,0.13
SDSSJ1204+0358,4.59,274,17,11.20,0.07,11.45,0.06,11.09,0.03,0.58,0.07,0.26,0.12,2.29,0.11
SDSSJ1205+4910,9.04,282,13,11.48,0.06,11.72,0.06,11.42,0.02,0.63,0.06,0.36,0.10,2.16,0.12
SDSSJ1213+6708,6.51,292,11,11.24,0.10,11.49,0.09,11.17,0.02,0.61,0.08,0.31,0.14,2.49,0.08
SDSSJ1218+0830,7.62,218,10,11.35,0.08,11.59,0.08,11.26,0.02,0.60,0.08,0.30,0.13,1.82,0.11
