Name,Survey,z_lens,z_source,R_eff_arcsec,theta_E_arcsec,sig_theta_E_arcsec,sigma_half_km_s,sig_sigma_half_km_s,gamma_lens,sig_gamma_lens
SL2SJ021411-040502,SL2S,0.609,1.88,0.42,1.34,0.03,219,10,2.39,0.2
SL2SJ021902-082934,SL2S,0.389,2.15,0.39,1.3,0.03,303,10,2.7,0.11
SL2SJ022610-042011,SL2S,0.494,1.23,0.39,1.15,0.02,324,15,2.05,0.15
SL2SJ023251-040823,SL2S,0.352,2.34,0.32,1.02,0.02,221,5,2.38,0.18
SL2SJ084909-041226,SL2S,0.722,1.54,0.24,1.14,0.03,363,16,2.07,0.15
SL2SJ084959-025142,SL2S,0.274,2.09,1.54,1.19,0.01,207,3,2.24,0.3
SL2SJ085540-014730,SL2S,0.365,3.39,0.47,0.96,0.02,203,11,2.25,0.11
SL2SJ090407-005952,SL2S,0.611,2.36,0.71,1.41,0.03,238,9,1.98,0.15
SL2SJ095921+020638,SL2S,0.552,3.35,0.41,0.71,0.02,209,8,2.12,0.18
SL2SJ140454+520024,SL2S,0.456,1.59,0.78,2.39,0.05,360,18,2.49,0.21
SL2SJ140546+524311,SL2S,0.526,3.01,0.48,1.46,0.03,270,9,2.23,0.17
SL2SJ142059+563007,SL2S,0.483,3.12,1.79,1.39,0.01,283,13,2.06,0.22
SL2SJ220329+020518,SL2S,0.4,2.15,0.99,1.68,0.03,217,15,1.94,0.08
SL2SJ220506+014703,SL2S,0.476,2.53,0.4,1.81,0.04,333,16,1.92,0.14
SL2SJ222148+011542,SL2S,0.325,2.35,0.53,1.27,0.03,290,13,2.14,0.13
SDSSJ002907.77-005550.5,SLACS,0.227,0.931,2.3,0.95,0.02,207,7,2.47,0.26
SDSSJ003753.21-094220.1,SLACS,0.195,0.632,2.3,1.48,0.03,279,7,2.38,0.11
SDSSJ033012.14-002051.9,SLACS,0.351,1.071,1.26,1.09,0.02,258,12,2.14,0.17
SDSSJ111250.60+082610.4,SLACS,0.273,0.629,1.55,1.5,0.03,274,7,1.92,0.18
SDSSJ120444.07+035806.4,SLACS,0.164,0.631,1.63,1.3,0.03,262,5,2.02,0.06
SDSSJ125028.26+052349.1,SLACS,0.232,0.795,1.86,1.12,0.02,243,6,2.18,0.09
SDSSJ130613.65+060022.1,SLACS,0.173,0.472,2.08,1.31,0.03,230,7,1.97,0.07
SDSSJ140228.21+632133.5,SLACS,0.205,0.481,2.65,1.35,0.03,285,7,2.24,0.15
SDSSJ153150.07-010545.7,SLACS,0.16,0.744,2.73,1.71,0.03,273,9,2.07,0.25
SDSSJ153812.92+581709.8,SLACS,0.143,0.531,1.45,1.0,0.02,236,5,2.27,0.12
SDSSJ162132.99+393144.6,SLACS,0.245,0.602,2.3,1.27,0.03,255,10,2.02,0.07
SDSSJ162746.45-005357.6,SLACS,0.208,0.524,2.02,1.22,0.02,262,10,1.93,0.14
SDSSJ163028.16+452036.3,SLACS,0.248,0.793,2.01,1.79,0.04,280,7,1.92,0.09
SDSSJ230321.72+142217.9,SLACS,0.155,0.517,3.46,1.62,0.03,259,9,1.94,0.08
B1608+656,Other,0.63,1.394,0.59,0.81,0.05,266,16,2.08,0.11
DES0408-5354,Other,0.597,2.375,1.94,1.92,0.1,222,26,1.9,0.1
HE0435-1223,Other,0.455,1.693,1.8,1.22,0.08,214,15,1.93,0.1
PG1115+080,Other,0.311,1.722,0.45,1.08,0.06,292,26,2.17,0.12
RXJ1131-1231,Other,0.295,0.654,1.91,1.63,0.08,313,20,1.95,0.11
SDSS1206+4332,SLACS,0.745,1.789,0.29,1.25,0.06,310,32,1.95,0.11
WFI2033-4723,Other,0.658,1.662,1.97,0.94,0.05,250,19,1.95,0.1
WGD2038-4008,Other,0.228,0.777,2.22,1.38,0.07,286,19,2.3,0.12
